['0x013121291061493421111131049241312871055370116', '0x8234523749', '爱建集团', '731914A97V77CU6', '中颖电子', '739439P60C8CSO6', '2020-11-06 10:45:43', '增值税发票', '14.69%', 370, 39557, 39927, 1, 1, '5kg', 1604630743970366700, '0x073108141561471031141213']
['0x12151413212871411152210711153467810171241291147', '0x1143523211', '龙头股份', '7385455PA15XTF1', '雪榕生物', '739077CX5TMVOF3', '2020-11-06 10:45:44', '普通发票', '17.37%', 158, 77556, 77714, 3, 3, '2kg', 1604630744027566100, '0x414361014747113021391']
['0x121064131095391415040111571030651447987', '0x5829687146', '张江高科', '735909FYLDU4NM4', '晶丰明源', '7347372A9BX0IL4', '2020-11-06 10:45:44', '专业发票', '10.14%', 944, 104144, 105088, 2, 3, '11kg', 1604630744027566100, '0x91171112504134511161511']
['0x910613210120262331414195124141396139141015128', '0x7578122236', 'ST沪科', '737385Q2XESW4N3', '嘉麟杰', '733979FK8NVYNT3', '2020-11-06 10:45:44', '普通发票', '14.13%', 178, 57206, 57384, 3, 1, '2kg', 1604630744027566100, '0x981513150383910289117']
['0x67150142441127711151514110795855132121180', '0x7075669765', '柏楚电子', '7388021KSTN0P29', '上海天洋', '733441WIOMYM9S4', '2020-11-06 10:45:44', '增值税发票', '14.14%', 222, 45760, 45982, 3, 3, '9kg', 1604630744027566100, '0x241036911991131341515']
['0x887112100781514810381316145711213201434961', '0x9766404807', '保隆科技', '731114ANPJPBH71', '海利生物', '736779TB2F4YC93', '2020-11-06 10:45:44', '专业发票', '10.86%', 462, 104997, 105459, 2, 2, '6kg', 1604630744027566100, '0x1392110136131510562873']
['0x12444323250855656157554161251230145153', '0x8267080004', '新朋股份', '735120MK0AYVQP2', '开能健康', '732671A9RD43Q7X', '2020-11-06 10:45:44', '专业发票', '13.62%', 667, 60064, 60731, 2, 1, '5kg', 1604630744027566100, '0x113297721029135159413']
['0x1158714104871509410146101444158151041010149148', '0x9028484722', '泰胜风能', '7329333SBDVNC8X', '吉祥航空', '733723T0KTPB7L7', '2020-11-06 10:45:44', '增值税发票', '11.2%', 986, 58802, 59788, 4, 3, '8kg', 1604630744027566100, '0x11760915617771165514']
['0x17151381180575141350212102661161466514135312', '0x1967435829', '上海机电', '739017PGDOY03Y9', '金桥信息', '734241B9GRK34C8', '2020-11-06 10:45:44', '普通发票', '10.53%', 928, 53272, 54200, 2, 3, '11kg', 1604630744027566100, '0x1231442315141491123695']
['0x121141210116186133851247111131151512101311241412', '0x8267677483', '透景生命', '736446KTH55TKQ3', '三爱富', '731154VB73S8NY0', '2020-11-06 10:45:44', '普通发票', '15.62%', 868, 32873, 33741, 4, 4, '10kg', 1604630744027566100, '0x1521092292371010261014']
['0x908551481457881422868107112102141110101383', '0x9642141471', '安信信托', '730117JGDPQ0IC8', '东风科技', '732092XSIJJUCW6', '2020-11-06 10:45:44', '普通发票', '15.65%', 173, 70443, 70616, 4, 3, '4kg', 1604630744027566100, '0x7762151084121513141315611']
['0x4511076111290713126151191063141291382431178', '0x8945711473', '富瀚微', '731294241FWESA8', '嘉麟杰', '733979FK8NVYNT3', '2020-11-06 10:45:44', '增值税发票', '16.94%', 610, 92382, 92992, 1, 3, '8kg', 1604630744027566100, '0x103215038314011421412']
['0x1151115141510512151261591091211214107554158158694', '0x9850613542', '东方证券', '735129ND823XM16', '华东电脑', '736559JEEJJU3B7', '2020-11-06 10:45:44', '增值税发票', '11.1%', 946, 11766, 12712, 2, 2, '8kg', 1604630744027566100, '0x410214231214548715562']
['0x803711027897144149420151579157137138110713', '0x7673064082', '欧普照明', '732181O2IWRQ7P1', '上海建工', '732912DBHM76VWX', '2020-11-06 10:45:44', '普通发票', '19.69%', 843, 87478, 88321, 2, 2, '7kg', 1604630744027566100, '0x9151437811569191013014']
['0x715882141510121313140133141121580169421391071012', '0x9152119760', '上海三毛', '735105XB25JAT55', '矩子科技', '731234LM4MKOAQ1', '2020-11-06 10:45:44', '专业发票', '12.06%', 788, 23906, 24694, 1, 2, '10kg', 1604630744027566100, '0x310107141391410314910135']
['0x5372939121011125128215149658231113527631', '0x6960418766', '飞科电器', '734492OBVOW2BE8', '海得控制', '736059BSIW8FX25', '2020-11-06 10:45:44', '普通发票', '13.03%', 482, 25737, 26219, 3, 4, '10kg', 1604630744027566100, '0x021215139097012015518']
['0x144112610911111149510910135410511413151289111', '0x1956331604', '爱普股份', '7385691CXW3L5B6', '凯众股份', '737771HBR6DJ2N2', '2020-11-06 10:45:44', '普通发票', '15.4%', 871, 79315, 80186, 4, 1, '6kg', 1604630744027566100, '0x3100101115971113720352']
['0x3161081055151033301164128714761125158948', '0x9427669655', '摩恩电气', '735324TP9IO6X53', '移远通信', '739295PWHU3CYB2', '2020-11-06 10:45:44', '增值税发票', '19.85%', 668, 66136, 66804, 1, 4, '2kg', 1604630744028667000, '0x1105387313612515321111']
['0x713103031211112358915140615121414126104761134', '0x6853337648', '光大证券', '73112946NHRQ5S8', '华谊集团', '734111DBL850569', '2020-11-06 10:45:44', '增值税发票', '18.08%', 860, 95743, 96603, 1, 1, '4kg', 1604630744028667000, '0x754935108221134315']
['0x48151386014302744120476415154151423151013149', '0x5131811235', '上海能源', '7301500XLP6F144', '号百控股', '730460TU01YHP88', '2020-11-06 10:45:44', '增值税发票', '19.93%', 771, 43833, 44604, 4, 2, '5kg', 1604630744028667000, '0x61543511812781214415413']
['0x2146151313991958101571125811515712111598491511', '0x9349637335', '申通地铁', '730357EIH33KLVX', '金桥信息', '734241B9GRK34C8', '2020-11-06 10:45:44', '增值税发票', '19.33%', 1013, 100236, 101249, 4, 1, '10kg', 1604630744028667000, '0x110429141353012275124']
['0x1201210143871441451567121014215141312121215713111214', '0x1330676562', '开能健康', '732671A9RD43Q7X', '华虹计通', '731091EL2JQF4AX', '2020-11-06 10:45:44', '普通发票', '16.51%', 426, 28496, 28922, 3, 3, '6kg', 1604630744028667000, '0x96610211531231315158126']
['0x13001155912015314415412121313379611681240113', '0x8593508797', '华贸物流', '733646088UMTNG8', '华谊集团', '734111DBL850569', '2020-11-06 10:45:44', '增值税发票', '14.13%', 402, 94652, 95054, 1, 4, '10kg', 1604630744028667000, '0x124337315941558150150']
['0x9451191572501564121374534118706207151435', '0x8746229954', '上海家化', '737825I51MLRB77', '天宸股份', '73679221H4MFHJ8', '2020-11-06 10:45:44', '专业发票', '13.74%', 895, 34217, 35112, 4, 4, '7kg', 1604630744028667000, '0x61013101414111436075510']
['0x1115612066071113134857915696408406814247', '0x4924381947', '中远海发', '734338ULCG7TM33', '透景生命', '736446KTH55TKQ3', '2020-11-06 10:45:44', '普通发票', '15.46%', 245, 36694, 36939, 1, 2, '3kg', 1604630744028667000, '0x2137270621057059615']
['0x101181013621555558212148881197151213714393', '0x4014144647', 'ST长投', '733374B9KLS6S06', '航天机电', '733046K6PK2SFB4', '2020-11-06 10:45:44', '专业发票', '10.74%', 551, 57236, 57787, 3, 2, '9kg', 1604630744028667000, '0x713010118408311121180']
['0x01212154323600810991411214141047861210905115', '0x9015951622', '东方证券', '735129ND823XM16', '同达创业', '7387993UQY50UAX', '2020-11-06 10:45:44', '专业发票', '14.25%', 541, 80925, 81466, 2, 3, '11kg', 1604630744028667000, '0x101490128114147223836']
['0x6627613101212101121314121486111591311508621141', '0x2936221735', '大智慧', '737166PKJ1ISGX7', '现代制药', '736977KDKUD1AG5', '2020-11-06 10:45:44', '增值税发票', '18.39%', 474, 61734, 62208, 3, 2, '9kg', 1604630744028667000, '0x11110137159521210157355']
['0x1101281182880661410413601031315954143156115', '0x8953212211', '天玑科技', '739093RODNBA4U7', '新朋股份', '735120MK0AYVQP2', '2020-11-06 10:45:44', '专业发票', '10.4%', 537, 48083, 48620, 1, 1, '7kg', 1604630744028667000, '0x1414012224101081369446']
['0x66912124645132116156103104240514012111713', '0x2503130830', '中远海能', '738928DPR7U5658', '日播时尚', '737677E8S3MAXTX', '2020-11-06 10:45:44', '增值税发票', '13.5%', 959, 102448, 103407, 1, 2, '7kg', 1604630744028667000, '0x11131101040146357158102']
['0x561301413511911519149138120131275106311410119', '0x6284194421', '界龙实业', '737656V70L17144', '锦江投资', '733051IJCDIHO36', '2020-11-06 10:45:44', '专业发票', '13.62%', 979, 36938, 37917, 1, 4, '5kg', 1604630744028667000, '0x15111515811891310118121235']
['0x1313127136139104116127111215815112211168671515812', '0x2318175326', '移远通信', '739295PWHU3CYB2', '锦江酒店', '730688D1J3XCAC0', '2020-11-06 10:45:44', '增值税发票', '10.72%', 677, 52890, 53567, 3, 2, '4kg', 1604630744028667000, '0x14141011441136911411322']
['0x1041860115914103106117111412507155414910983', '0x8176808646', '世茂股份', '739529HJRYA7T44', '延华智能', '737055XVKT065P9', '2020-11-06 10:45:44', '专业发票', '17.15%', 407, 83529, 83936, 2, 1, '3kg', 1604630744029590500, '0x8109915113871010681188']
['0x1131441493261485071015111105151101391046121113', '0x7870646655', '德邦股份', '737059GJPYWCH83', '世茂股份', '739529HJRYA7T44', '2020-11-06 10:45:44', '增值税发票', '17.65%', 410, 48175, 48585, 2, 2, '9kg', 1604630744029590500, '0x9314131212391012112100112']
['0x52128131841473161412911421515121115454342150', '0x3055630165', '益民集团', '732763O7Y67XYV6', '强生控股', '737120FLLHCKL70', '2020-11-06 10:45:44', '增值税发票', '16.77%', 885, 98662, 99547, 3, 3, '1kg', 1604630744029590500, '0x1231215101010102130971362']
['0x131114511224561011708124118641461012107791810', '0x5971082168', '威派格', '732934IEPT3VCR2', '翔港科技', '737570R8NXR99FX', '2020-11-06 10:45:44', '增值税发票', '15.25%', 705, 86505, 87210, 1, 3, '11kg', 1604630744029590500, '0x51034115121115151012121413']
['0x211259238123661182207414106580101576636', '0x6747677706', '中路股份', '731720LJNC238Y3', '思源电气', '73994732QUV1XE0', '2020-11-06 10:45:44', '普通发票', '16.08%', 872, 15865, 16737, 4, 3, '8kg', 1604630744029590500, '0x13135400141141343190']
['0x271056401261271134243941115052069512784', '0x1625445794', '宏和科技', '733827SG9M9USLX', '中化国际', '739874L8BDK4J56', '2020-11-06 10:45:44', '增值税发票', '12.0%', 216, 67677, 67893, 1, 3, '5kg', 1604630744029590500, '0x339015111131341451011113']
['0x1279127314142115213144615131015078903141114131313', '0x3556715793', '华谊集团', '734111DBL850569', '菲林格尔', '7313040BPF80YMX', '2020-11-06 10:45:44', '普通发票', '18.85%', 684, 43851, 44535, 1, 1, '9kg', 1604630744029590500, '0x3158130910615514414131515']
['0x87138131611134872910278107148141212919314', '0x4421741120', '上海临港', '733845U5RN6RSK5', '百润股份', '735114V6OYDWAJX', '2020-11-06 10:45:44', '专业发票', '10.94%', 832, 50686, 51518, 3, 3, '9kg', 1604630744029590500, '0x7145131114212091111753']
['0x55051331935515130814021467100263331214012', '0x3216520841', '申通地铁', '730357EIH33KLVX', '中远海发', '734338ULCG7TM33', '2020-11-06 10:45:44', '专业发票', '15.13%', 163, 53663, 53826, 4, 1, '4kg', 1604630744030112400, '0x91214511512106115313911']
['0x91268127814134415951313151149131210528739152', '0x1355992669', '上海电影', '731929JNI82P4C5', '亚士创能', '7383016GDI3XSU2', '2020-11-06 10:45:44', '专业发票', '18.73%', 600, 14280, 14880, 2, 3, '11kg', 1604630744030112400, '0x152714291360149127812']
['0x155815711049514364213814914711515190115153', '0x1057847392', '上海家化', '737825I51MLRB77', '中路股份', '731720LJNC238Y3', '2020-11-06 10:45:44', '普通发票', '14.41%', 938, 59023, 59961, 4, 2, '7kg', 1604630744030112400, '0x146101315841413591111135']
['0x933140131111184354991200141141228112163106', '0x5063061443', '环旭电子', '736512YSS67YA6X', '康德莱', '736309QM2GOYVD5', '2020-11-06 10:45:44', '普通发票', '18.91%', 586, 89611, 90197, 3, 4, '10kg', 1604630744030112400, '0x14101013961312100121131159']
['0x141151215529262290686401312912151071506484', '0x0617526216', '中远海发', '734338ULCG7TM33', '大众公用', '739273VWKQNT3VX', '2020-11-06 10:45:44', '增值税发票', '10.18%', 232, 87720, 87952, 2, 1, '5kg', 1604630744030112400, '0x1110447361561015343157']
['0x151312053174061011412113891431111745398133', '0x4450415788', '耀皮玻璃', '73145750J4TIA14', '国投资本', '733019TIKK775I8', '2020-11-06 10:45:44', '专业发票', '16.94%', 226, 73185, 73411, 1, 4, '1kg', 1604630744030112400, '0x251390148131167293414']
['0x151101414263911661507381380028137113314315', '0x8411136433', '光明地产', '734710V7233GV56', '富瀚微', '731294241FWESA8', '2020-11-06 10:45:44', '增值税发票', '13.89%', 1074, 47249, 48323, 4, 2, '11kg', 1604630744030112400, '0x15100811010144513427107']
['0x915140084659351220151374125111181141410395', '0x6055859467', '华贸物流', '733646088UMTNG8', '锦江投资', '733051IJCDIHO36', '2020-11-06 10:45:44', '普通发票', '13.37%', 791, 71106, 71897, 3, 3, '6kg', 1604630744030112400, '0x2813131211421011011410109']
['0x151110124612138004915101041571010126971151312515', '0x2728741742', '上海九百', '731115X7YEW5BL0', '宝钢包装', '732110OOWW63K24', '2020-11-06 10:45:44', '普通发票', '10.26%', 564, 96820, 97384, 1, 1, '6kg', 1604630744030616600, '0x13374214866111218779']
['0x57141414018127991124481088101381291501234310', '0x8609534424', '金力泰', '7317969P4JTFW20', '华谊集团', '734111DBL850569', '2020-11-06 10:45:44', '普通发票', '12.14%', 189, 61831, 62020, 1, 1, '9kg', 1604630744030616600, '0x329610104151261121214414']
['0x050859815213721231412131281118107011265101112', '0x7196246599', '龙韵股份', '7376418DYMUPCKX', '风语筑', '7361005EPY6I8A9', '2020-11-06 10:45:44', '普通发票', '14.27%', 1038, 93424, 94462, 1, 2, '9kg', 1604630744030616600, '0x251322159597632382']
['0x01312145122010428133121001595781122415140420', '0x4546828886', '鹏欣资源', '737111PQHNJHRC9', '东方财富', '7373367NFM873UX', '2020-11-06 10:45:44', '增值税发票', '16.4%', 978, 11783, 12761, 3, 3, '1kg', 1604630744030616600, '0x611210142806291131401']
['0x25713513610413101435701410901098012066135158', '0x8810595498', '至正股份', '7336385JAOIHBB0', '浦发银行', '735682D7BKUIP00', '2020-11-06 10:45:44', '普通发票', '19.04%', 493, 81514, 82007, 4, 2, '3kg', 1604630744030616600, '0x127401115415801501510']
['0x09611542123915401414131147121315841111010214', '0x3167490694', '汇纳科技', '739027AR27XJQ5X', '上海建工', '732912DBHM76VWX', '2020-11-06 10:45:44', '专业发票', '14.75%', 320, 82794, 83114, 4, 3, '9kg', 1604630744030616600, '0x67790614117771011157']
['0x102110414123131599141212128151861111013710497211', '0x5264143816', '网宿科技', '7337180P2X6PUS6', '市北高新', '734297CCHAGU0A2', '2020-11-06 10:45:44', '普通发票', '12.14%', 217, 78265, 78482, 3, 1, '8kg', 1604630744030616600, '0x14111401141412814101201']
['0x63123111214151451031015415391072420812997965', '0x4557228466', '浦东金桥', '733574U9OE1OFX4', '界龙实业', '737656V70L17144', '2020-11-06 10:45:44', '专业发票', '14.35%', 377, 101875, 102252, 3, 1, '6kg', 1604630744030616600, '0x78314101101046711535']
['0x613135114136711799158312412117011314887126118', '0x3158691490', '嘉麟杰', '733979FK8NVYNT3', '交运股份', '7360014M44J7WJ2', '2020-11-06 10:45:44', '普通发票', '18.04%', 289, 67950, 68239, 4, 2, '6kg', 1604630744030616600, '0x64714151221061012061510']
['0x270531359395012986521214155111382314103', '0x8571274623', '德邦股份', '737059GJPYWCH83', '强生控股', '737120FLLHCKL70', '2020-11-06 10:45:44', '增值税发票', '16.29%', 158, 18857, 19015, 2, 3, '9kg', 1604630744030616600, '0x26131241248106141012119']
['0x117127106517213101113111538210141037153131155', '0x4407715453', '华测导航', '738555MC5WN8P17', 'ST游久', '734494GFE9MASR1', '2020-11-06 10:45:44', '增值税发票', '10.37%', 909, 52986, 53895, 2, 3, '2kg', 1604630744030616600, '0x107611113113141361250139']
['0x14889107921512911814591411511515331787229', '0x2885595702', '东方证券', '735129ND823XM16', '新通联', '739024LJUDT83G9', '2020-11-06 10:45:44', '专业发票', '10.96%', 694, 27944, 28638, 3, 3, '9kg', 1604630744030616600, '0x5145129103901010591217']
['0x91315011129951151349313708912155129215713577', '0x0300716435', '中微公司', '731893EMEDQ7502', '爱普股份', '7385691CXW3L5B6', '2020-11-06 10:45:44', '普通发票', '16.1%', 897, 80172, 81069, 1, 4, '4kg', 1604630744030616600, '0x311213030139116585111']
['0x4194121148011712911378000510751510080122', '0x4605300027', '海通证券', '734316Y2KXBNEDX', '剑桥科技', '730572JDQHTPX05', '2020-11-06 10:45:44', '普通发票', '19.19%', 207, 42303, 42510, 4, 1, '4kg', 1604630744030616600, '0x391223647815215125912']
['0x911104504012121111763131213312315014670914689', '0x7827412473', 'ST游久', '734494GFE9MASR1', '城地股份', '737145NMSSW1CK1', '2020-11-06 10:45:44', '普通发票', '13.14%', 145, 47867, 48012, 3, 2, '2kg', 1604630744030616600, '0x510551431249809141472']
['0x61451145697213139015303412109963311151241415', '0x3356156367', '美邦服饰', '734878VQ2382VF6', '延华智能', '737055XVKT065P9', '2020-11-06 10:45:44', '普通发票', '18.38%', 925, 93307, 94232, 4, 2, '11kg', 1604630744030616600, '0x15215139766141132116913']
['0x143647145119115613158146583981415811314122134', '0x8774753996', '百联股份', '733459OUGAJ3EC1', '华测导航', '738555MC5WN8P17', '2020-11-06 10:45:44', '增值税发票', '19.41%', 458, 73886, 74344, 2, 3, '11kg', 1604630744030616600, '0x5881013101396713661567']
['0x6014151093512125121132178010131093512106513', '0x5535208641', '上海梅林', '730115CTYLL1220', '复星医药', '731896L35F0EW76', '2020-11-06 10:45:44', '增值税发票', '10.76%', 550, 43614, 44164, 1, 2, '7kg', 1604630744031622800, '0x511001510844789421112']
['0x12014513115131414815121551571213110437113118', '0x4436211610', '市北高新', '734297CCHAGU0A2', '飞乐音响', '7301833GPSWEYF3', '2020-11-06 10:45:44', '增值税发票', '10.38%', 269, 79365, 79634, 1, 1, '9kg', 1604630744031622800, '0x1114810663012881159135']
['0x8165142214721513118415361114584411515120120', '0x2786428667', '绿地控股', '733334NWC4DL569', '恒为科技', '7329568NWIBM1B3', '2020-11-06 10:45:44', '普通发票', '12.14%', 573, 101520, 102093, 3, 4, '10kg', 1604630744031622800, '0x42211224687762769']
['0x939124813331112812711158108105810111371415515145', '0x6434818864', '浦发银行', '735682D7BKUIP00', '氯碱化工', '733610M2DUADG00', '2020-11-06 10:45:44', '增值税发票', '15.96%', 178, 83842, 84020, 1, 3, '10kg', 1604630744031622800, '0x159435718913249379']
['0x1351011914792005121294512614224713614111012', '0x2490122041', 'ST岩石', '730457JP1BB2KG5', '老凤祥', '731697K29NY5VX7', '2020-11-06 10:45:44', '普通发票', '12.27%', 425, 26849, 27274, 1, 1, '1kg', 1604630744031622800, '0x141504121281271041346815']
['0x1529142125158119555941227400154753123124', '0x1987188326', '会畅通讯', '736280SI9J3UEJ6', '悦心健康', '7342506SXUSOGI0', '2020-11-06 10:45:44', '普通发票', '12.95%', 224, 94639, 94863, 2, 3, '1kg', 1604630744031622800, '0x80011125417351113124']
['0x5012132101311148146951051281112314129121121514131', '0x5747416218', '证券简称', '736763JRERB3H54', '海立股份', '734075SM23UXDT4', '2020-11-06 10:45:44', '增值税发票', '11.52%', 243, 51382, 51625, 4, 1, '11kg', 1604630744031622800, '0x41381361215133161215485']
['0x1403129121568612951502322101475775111214118', '0x0020359387', '移为通信', '739030WXYQWLBF3', '亚士创能', '7383016GDI3XSU2', '2020-11-06 10:45:44', '专业发票', '18.23%', 611, 98478, 99089, 1, 1, '6kg', 1604630744031622800, '0x4701014711112671514608']
['0x274361141181061445107813151513979131201414037', '0x4442721235', '兰生股份', '736554N381OWVN8', '云赛智联', '733225S2NFVR7W6', '2020-11-06 10:45:44', '增值税发票', '17.31%', 1002, 89274, 90276, 2, 3, '7kg', 1604630744031622800, '0x1115132152671313311461510']
['0x130106571271215643312911111515311664461015131210', '0x2439571435', '透景生命', '736446KTH55TKQ3', '日播时尚', '737677E8S3MAXTX', '2020-11-06 10:45:44', '专业发票', '13.77%', 445, 91499, 91944, 3, 4, '3kg', 1604630744031622800, '0x51117112411122130156810']
['0x158391512295671014114613151518012111209476414', '0x3586340352', '中远海能', '738928DPR7U5658', '东方航空', '7385243VRE8KYG2', '2020-11-06 10:45:44', '专业发票', '11.8%', 1089, 19141, 20230, 4, 3, '6kg', 1604630744031622800, '0x15141211796211265110613']
['0x191449852615170138804721102214100055134', '0x4258553748', '开能健康', '732671A9RD43Q7X', '沃施股份', '739108USVBJMV83', '2020-11-06 10:45:44', '普通发票', '12.6%', 275, 92005, 92280, 1, 3, '6kg', 1604630744031622800, '0x75111480106015481141']
['0x8493915121047100321511959844350313220110', '0x1429000630', '上海洗霸', '730623QPOXS2QF0', '上海医药', '733219HT9S541Y4', '2020-11-06 10:45:44', '专业发票', '12.29%', 671, 85835, 86506, 3, 2, '1kg', 1604630744031622800, '0x7021215211765846681']
['0x57156741313411476750100148926835260310', '0x0674221693', '万达信息', '7324609HBLXQ8M9', '张江高科', '735909FYLDU4NM4', '2020-11-06 10:45:44', '普通发票', '14.27%', 918, 26351, 27269, 4, 1, '10kg', 1604630744031622800, '0x9715313209811141510264']
['0x1381570812161301000805363111038310133548', '0x9202499503', '上汽集团', '739487RMLNASKP9', '上海电影', '731929JNI82P4C5', '2020-11-06 10:45:44', '专业发票', '14.08%', 1033, 63126, 64159, 3, 2, '5kg', 1604630744031622800, '0x28413392112126152159']
['0x51141013137548681486141315761311512281211301312', '0x2733643276', '威尔泰', '739185FCFOYGHBX', '耀皮玻璃', '73145750J4TIA14', '2020-11-06 10:45:44', '专业发票', '13.05%', 969, 27881, 28850, 2, 4, '5kg', 1604630744031622800, '0x101040111893214124644']
['0x681159891315159191141381109011141214531386510', '0x6373671515', '璞泰来', '7347026SMUGEPV1', '中国船舶', '7399465MHRXA5K5', '2020-11-06 10:45:44', '普通发票', '14.37%', 265, 57847, 58112, 2, 3, '9kg', 1604630744032621900, '0x7121411321251301311271013']
['0x121501312134351331161641531101162731513115410', '0x9510146349', '日播时尚', '737677E8S3MAXTX', '开创国际', '730359CMXQXO4D9', '2020-11-06 10:45:44', '专业发票', '11.49%', 336, 25754, 26090, 4, 2, '1kg', 1604630744032621900, '0x15129123289111414131311131']
['0x811141215957015159151415371112345921414149136111', '0x6298191011', '东方创业', '735674C2NN28XK4', '上海凤凰', '731126D8LAHXH10', '2020-11-06 10:45:44', '普通发票', '17.01%', 996, 15285, 16281, 3, 1, '5kg', 1604630744032621900, '0x1257326304158607214']
['0x10653526381015708601411108121212134121405118', '0x6785591475', '大智慧', '737166PKJ1ISGX7', 'ST富控', '73114966NG61T88', '2020-11-06 10:45:44', '专业发票', '18.61%', 281, 79714, 79995, 2, 1, '3kg', 1604630744032621900, '0x11215128931414011121072']
['0x51511858136124156111415106111512101515141314285114', '0x7856585220', '中国核建', '7336417CGJ9SL35', '申联生物', '730146LCBBRPNT6', '2020-11-06 10:45:44', '增值税发票', '18.1%', 350, 53888, 54238, 3, 1, '8kg', 1604630744032621900, '0x72661012215110215117127']
['0x41581131407121291094613155871033108041131447', '0x3680558360', 'ST爱旭', '734249EH6KSNYS4', '号百控股', '730460TU01YHP88', '2020-11-06 10:45:44', '普通发票', '15.1%', 1039, 29238, 30277, 4, 2, '2kg', 1604630744032621900, '0x080120371115929011013']
['0x275770092092021250840061910413123362', '0x4307078758', '海利生物', '736779TB2F4YC93', '环旭电子', '736512YSS67YA6X', '2020-11-06 10:45:44', '增值税发票', '11.85%', 696, 24477, 25173, 3, 1, '7kg', 1604630744032621900, '0x12514101031066139171233']
['0x6715362022152149114389714305141312912133510', '0x2447729957', '宏和科技', '733827SG9M9USLX', '上海电影', '731929JNI82P4C5', '2020-11-06 10:45:44', '专业发票', '17.0%', 219, 32133, 32352, 2, 1, '4kg', 1604630744032621900, '0x10013110126415139326714']
['0x30321561515110911138114013911832560133887', '0x5211865625', '现代制药', '736977KDKUD1AG5', '康德莱', '736309QM2GOYVD5', '2020-11-06 10:45:44', '普通发票', '16.78%', 356, 60775, 61131, 1, 3, '1kg', 1604630744032621900, '0x1010181781514912510839']
['0x10125911388510131282127210111358971101109822', '0x8167499801', '环旭电子', '736512YSS67YA6X', '光大嘉宝', '730415FUU5METM0', '2020-11-06 10:45:44', '增值税发票', '11.29%', 324, 74138, 74462, 2, 4, '10kg', 1604630744032621900, '0x14331411271153151311152']
['0x9515911413214199908124508141514215410491000', '0x9677312292', '博通集成', '738070D71LJHAB5', '安诺其', '7398825GAOGR6R5', '2020-11-06 10:45:44', '增值税发票', '11.17%', 375, 81155, 81530, 1, 1, '9kg', 1604630744032621900, '0x010814608510111301012151']
['0x12314901074312151014671174512811116651291201', '0x9245857199', '大众公用', '739273VWKQNT3VX', '荣泰健康', '738436M2RVGKFIX', '2020-11-06 10:45:44', '增值税发票', '15.56%', 1008, 68233, 69241, 1, 4, '1kg', 1604630744032621900, '0x098314375101212314869']
['0x14251131213433151112111011141515608112221111137614', '0x2921243877', '开开实业', '7311720HCR3HQT4', '上海机电', '739017PGDOY03Y9', '2020-11-06 10:45:44', '专业发票', '10.42%', 749, 109471, 110220, 3, 3, '6kg', 1604630744032621900, '0x1588412839800111512148']
['0x9080116331141614176136131425128715413049', '0x1617079044', '安诺其', '7398825GAOGR6R5', '中远海能', '738928DPR7U5658', '2020-11-06 10:45:44', '增值税发票', '19.57%', 508, 27721, 28229, 1, 2, '10kg', 1604630744032621900, '0x9110711110141251195347']
['0x1451513530119151012121571310141517610212157511158', '0x1919944187', '亚士创能', '7383016GDI3XSU2', '晶晨股份', '737962HN9EDUP17', '2020-11-06 10:45:44', '增值税发票', '18.86%', 608, 39573, 40181, 4, 3, '8kg', 1604630744032621900, '0x109794514571112893411']
['0x3151110143712913143121124871163214586151181282', '0x2978244875', '光大证券', '73112946NHRQ5S8', '沃施股份', '739108USVBJMV83', '2020-11-06 10:45:44', '专业发票', '16.14%', 477, 79344, 79821, 2, 1, '4kg', 1604630744032621900, '0x53615214121910141462142']
['0x514128141013151151281401487910701110600043912', '0x0994032081', '吉祥航空', '733723T0KTPB7L7', '中国太保', '7328842Q69Q0QJ1', '2020-11-06 10:45:44', '普通发票', '15.62%', 849, 83893, 84742, 4, 4, '4kg', 1604630744033624100, '0x14741201913013914508']
['0x8060012215575821072714144364651398141313', '0x5281110298', '康达新材', '7391739NQT6ROD9', '上海家化', '737825I51MLRB77', '2020-11-06 10:45:44', '专业发票', '11.42%', 444, 59713, 60157, 1, 1, '6kg', 1604630744033624100, '0x107101211415015021161026']
['0x6141170715110113537724121096512941313191313', '0x0020847921', '天宸股份', '73679221H4MFHJ8', 'ST运盛', '73292259D8HIEYX', '2020-11-06 10:45:44', '专业发票', '17.62%', 784, 21310, 22094, 3, 1, '2kg', 1604630744033624100, '0x68373147181011241285']
['0x11310591353239421012151148103261540041113', '0x8325474001', '号百控股', '730460TU01YHP88', '上海贝岭', '73815746CLN9IC5', '2020-11-06 10:45:44', '增值税发票', '11.81%', 526, 17275, 17801, 3, 1, '9kg', 1604630744033624100, '0x1090146514414414135460']
['0x115433311599084306810151168151354110013', '0x3148909196', '城地股份', '737145NMSSW1CK1', '广电电气', '732351UJVO5BYI7', '2020-11-06 10:45:44', '普通发票', '16.85%', 322, 26544, 26866, 2, 4, '3kg', 1604630744033624100, '0x145346514121141871304']
['0x314191010914114512839010974015101110111361597', '0x0300656790', '金枫酒业', '735047TV94IS5I8', '同济科技', '738966V2M5LEBF3', '2020-11-06 10:45:44', '专业发票', '17.72%', 532, 93658, 94190, 2, 2, '10kg', 1604630744033624100, '0x710811181561515101572145']
